,chembl_id,smiles,rdkitmol,MACCS_fps,MACCS_ts,Morgan_fps,Morgan_ts,ShapeSimilarity,molecular_weight,n_hba,n_hbd,logp,TPSA,ro5_fulfilled
16,CHEMBL1774513, CC(C)C1=C(CCNC(=O)C)c2c(C1)ccc1c2CCO1,<rdkit.Chem.rdchem.Mol object at 0x12c90f0d0>,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x12c91e810>,0.3888888888888889,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x12df68c80>,0.0898876404494382,0.47936519696863394,285.172878976,2,1,3.113400000000002,38.33,True
17,CHEMBL376583, COc1c(cccc1)C1=Cc2c(C1)cccc2,<rdkit.Chem.rdchem.Mol object at 0x12c90f140>,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x12c91e880>,0.1724137931034483,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x12df68d60>,0.08108108108108109,0.5277508989188171,222.104465068,1,0,3.7919000000000027,9.23,True
19,CHEMBL1774514, CCC(=O)NCCC1=C(Cc2ccc3OCCc3c12)C(C)C,<rdkit.Chem.rdchem.Mol object at 0x12c90f220>,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x12c91e960>,0.4,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x12df68f20>,0.1,0.4753817555877766,299.18852904000005,2,1,3.5035000000000025,38.33,True
20,CHEMBL1078250, COc1ccc(cc1)C(=O)C1=C(O)c2cc(OC)c(OC)cc2C1,<rdkit.Chem.rdchem.Mol object at 0x12c90f290>,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x12c91e9d0>,0.21739130434782608,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x12df69000>,0.11392405063291139,0.5807488138408212,326.115423676,5,1,3.4205000000000014,64.99000000000001,True
22,CHEMBL1774512, CC(=O)NCCC1=CCc2ccc3OCCc3c12,<rdkit.Chem.rdchem.Mol object at 0x12c90f370>,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x12c91eab0>,0.375,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x12df691c0>,0.08139534883720931,0.5941174730326713,243.125928784,2,1,2.0872,38.33,True
23,CHEMBL1774515, CC(C)C1=C(CCNC(=O)C2CC2)c2c3CCOc3ccc2C1,<rdkit.Chem.rdchem.Mol object at 0x12c90f3e0>,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x12c91eb20>,0.3956043956043956,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x12df692a0>,0.09782608695652174,0.5135847307004139,311.18852904000005,2,1,3.5035000000000025,38.33,True
25,CHEMBL1078258, COc1ccc(cc1OC)C(=O)C1=C(O)c2cc(OC)c(OC)cc2C1,<rdkit.Chem.rdchem.Mol object at 0x12c90f4c0>,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x12c91ec00>,0.21739130434782608,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x12df69460>,0.11538461538461539,0.561244587130859,356.12598836,6,1,3.429100000000002,74.22000000000001,True
26,CHEMBL1774525, COc1c(cccc1)C1=C(CCNC(=O)C)c2c3CCOc3ccc2C1,<rdkit.Chem.rdchem.Mol object at 0x12c90f530>,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x12c91ec70>,0.43956043956043955,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x12df69540>,0.09375,0.28065386149895266,349.167793596,3,1,3.6232000000000024,47.56,True
27,CHEMBL1774519, CC(=O)NCCC1=C(CC2CCCCC2)Cc2ccc3OCCc3c12,<rdkit.Chem.rdchem.Mol object at 0x12c90f5a0>,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x12c91ece0>,0.38202247191011235,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x12df69620>,0.08421052631578947,0.5881859094777322,339.219829168,2,1,4.427800000000004,38.33,True
29,CHEMBL194174, CNCCC1=CC(Cc2ccccc2)c2c1cccc2,<rdkit.Chem.rdchem.Mol object at 0x12c90f680>,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x12c91edc0>,0.2857142857142857,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x12df697e0>,0.1038961038961039,0.45490025580478766,263.167399672,1,1,4.019400000000003,12.03,True
